codigodanedepartamento,codigodanemunicipio,tipoarea,ano,mes,condicion
81,81794,1,2009,3,2
86,86573,1,2009,3,2
86,86573,1,2009,3,2
5,5045,1,2009,3,2
5,5045,1,2009,3,2
73,73555,1,2009,3,2
76,76275,1,2009,3,2
5,5134,1,2009,3,2
5,5134,1,2009,3,2
5,5134,1,2009,3,2
5,5134,1,2009,3,2
95,952,1,2009,3,2
54,5482,1,2009,3,2
52,52233,1,2009,3,2
86,86569,1,2009,3,2
52,52678,1,2007,9,1
86,8632,1,2007,5,1
81,81794,1,2009,3,1
52,52678,1,2007,9,1
52,52678,1,2007,6,1
52,52678,1,2007,6,1
52,52678,1,2006,1,1
52,5254,1,2005,9,1
81,81736,1,2009,4,1
81,81736,1,2009,4,1
52,52678,1,2007,2,1
52,52678,1,2007,2,1
52,52385,1,2006,12,1
52,52678,1,2007,9,1
52,52699,1,2007,2,1
52,52678,1,2006,2,1
52,52678,1,2008,2,1
52,52678,1,2005,1,1
52,52678,1,2006,2,1
52,52678,1,2007,3,1
52,52678,1,2007,3,1
52,52678,1,2006,5,1
52,52699,1,2008,5,1
52,52699,1,2008,5,1
52,52699,1,2008,5,1
52,52699,1,2008,5,1
52,52678,1,2007,3,1
52,52079,1,2009,4,1
52,52079,1,2009,4,1
52,52699,1,2006,10,1
52,52678,1,2006,11,1
52,52678,1,2008,2,1
52,52233,1,2008,6,1
52,52678,1,2007,3,1
81,81736,1,2009,4,1
52,52678,1,2006,4,1
52,52678,1,2006,1,1
52,52678,1,2006,1,1
52,52699,1,2007,2,1
52,52678,1,2007,3,1
18,18592,1,2009,4,2
18,18592,1,2009,4,2
52,52678,1,2005,11,1
52,52699,1,2007,3,1
95,95001,1,2009,4,2
95,95001,1,2009,4,2
95,95001,1,2009,4,2
52,52079,1,2009,2,2
19,1905,1,2009,4,2
52,52079,1,2009,2,2
18,1861,1,2009,4,2
5,5854,1,2009,3,1
50,50318,1,2009,3,2
52,52233,1,2009,3,2
52,52233,1,2009,3,2
52,52233,1,2009,3,2
52,52233,1,2009,3,2
52,52233,1,2009,3,2
73,73616,1,2009,4,2
95,952,1,1996,6,1
5,579,1,2009,4,2
5,579,1,2009,4,2
5,579,1,2009,4,2
5,5652,1,2009,4,2
